epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,171.622,0.35569,1,1,0.00451,0.000331989,0.000331989,0.0671331
2,367.858,0.10965,1,1,0.00258,0.000652149,0.000652149,0.0341199
3,515.838,0.06923,1,1,0.00654,0.000959109,0.000959109,0.00109352
4,666.629,0.06041,1,1,0.00098,0.0009406,0.0009406,0.0009406
5,821.644,0.05446,1,1,0.00159,0.0009208,0.0009208,0.0009208
6,976.135,0.05186,1,1,0.0004,0.000901,0.000901,0.000901
7,1126.47,0.03664,0.998,1,0.00175,0.0008812,0.0008812,0.0008812
8,1273.67,0.03792,1,1,0.00149,0.0008614,0.0008614,0.0008614
9,1422.95,0.02677,1,1,0.00041,0.0008416,0.0008416,0.0008416
10,1573.62,0.03406,1,1,0.00051,0.0008218,0.0008218,0.0008218
11,1727.65,0.03492,1,1,0.00304,0.000802,0.000802,0.000802
